Detail of Gifts	Item Category	Name of Recipient	Affiliation	Date	Assessed Value	Retention Cost	Retained	Remarks
"One Packet Containing:
a. One Pistachio,
b. One  Sohan
Mohammad
Saedinia,"		Mr.  Shaukat  Aziz	Police	14/07/2011	0	0	Yes	Yes
"One Packet Containing:
a. One Pistachio,
b. One  Sohan
Mohammad
Saedinia,
c. One Kashan Cookie"		Mr.  Shaukat  Aziz	Military	14/07/2011	0	0	Yes	Yes
"One Packet Containing:
a. One Pistachio,
b. One  Sohan
Mohammad
Saedinia,
c. One Kashan Cookie"		Mr.  Shaukat  Aziz	Military	14/07/2011	0	0	Yes	Yes
"One Packet Containing:
a. One Pistachio,
b. One  Sohan
Mohammad
Saedinia,
c. One Kashan Cookie"		Mr.  Shaukat  Aziz	Military	14/07/2011	0	0	Yes	Yes
"One Packet Containing:
a. One Pistachio,
b. One  Sohan
Mohammad
Saedinia,
c. One Kashan Cookie"		Mr.  Shaukat  Aziz	Military	14/07/2011	0	0	Yes	Yes
"One Packet Containing:
a. One Pistachio,
b. One  Sohan
Mohammad
Saedinia,
c. One Kashan Cookie"		Mr.  Shaukat  Aziz	Police	14/07/2011	0	0	Yes	Yes
"One Packet Containing:
a. One Pistachio,
b. One  Sohan"		Mr.  Shaukat  Aziz	Police	14/07/2011	0	0	Yes	Yes
"One Packet Containing:
a. One Pistachio,
b. One  Sohan
Mohammad
Saedinia,
c. One Kashan Cookie"		Mr.  Shaukat  Aziz		14/07/2011	0	0	Yes	Yes
"One Packet Containing:
a. One Pistachio,
b. One  Sohan
Mohammad
Saedinia,
c. One Kashan Cookie"		Mr.  Shaukat  Aziz		14/07/2011	0	0	Yes	Yes
"One Packet Containing:
a. One Pistachio,
b. One  Sohan
Mohammad
Saedinia,
c. One Kashan Cookie"		Mr.  Shaukat  Aziz		14/07/2011	0	0	Yes	Yes
"One Packet Containing:
a. One Pistachio,
b. One  Sohan
Mohammad
Saedinia,
c. One Kashan Cookie"		Mr.  Shaukat  Aziz		14/07/2011	0	0	Yes	Yes
"One  Framed  Egyptian
Art  work  (depicting  six
women + three men)"		Mr.  Shaukat  Aziz		16/07/2011	4000	0	Auctioned	"Auctioned for
Rs.3,500/-"
One Carpet	Carpet	Mr.  Shaukat  Aziz	Military	21/07/2011	7500	0	Yes	Yes
One Cup and Saucer		Mr.  Shaukat  Aziz		22/07/2011	10000	0	Yes	Yes
a. Gents  Watch  Gio	Watch	Mr.  Shaukat  Aziz		25/07/2011	0	56573	Amount	Amount
"Gents  Watch  Gio
Monoco  Geneve  HYP
No.2  automatic  leather
strap (Stainless Steel)"	Watch	Mr.  Shaukat  Aziz		25/07/2011	0	11250	Yes	Yes
"Gents  Watch  Gio
Monoco  Qtz  (Stainless
Steel)"	Watch	Mr.  Shaukat  Aziz	Military	25/07/2011	0	8250	Yes	Yes
"One Wrist Watch Bvlgari
(No. L2442)"	Watch	Mr.  Shaukat  Aziz	Bureaucracy	12/08/2011	160000	22500	Yes	Yes
"One Box Containing Two
Wrist  Watches,
Cufflinks,  Pair  of  Ear-
rings,  One  Ring,  One"	Watch	Mr.  Shaukat  Aziz	Military	15/08/2011	387149	56573	Yes	Yes
"One Box Containing Two
Wrist  Watches,
Cufflinks,  Pair  of  Ear-
rings,  One  Ring,  One
Bracelet & One Pen."	Watch	Mr.  Shaukat  Aziz	PPP	15/08/2011	387149	56573	Yes	Yes
"One Box Containing Two
Wrist  Watches,
Cufflinks,  Pair  of  Ear-
rings,  One  Ring,  One
Bracelet & One Pen."	Watch	Mr.  Shaukat  Aziz	Military	15/08/2011	387149	56573	Yes	Yes
"One  Wrist  Watch  Gio
Monocco"	Watch	Mr.  Shaukat  Aziz	Military	15/08/2011	135000	18750	Yes	Yes
"One  Wrist  Watch
Hamilton"	Watch	Mr.  Shaukat  Aziz	Military	15/08/2011	130000	18000	Yes	Yes
One  Wrist  Watch	Watch	Mr.  Shaukat  Aziz		15/08/2011	100000	13500	Amount	Amount
"Gents  Watch  Gio
Monoco"	Watch	Mr.  Shaukat  Aziz	Military	15/08/2011	85000	11250	Yes	Yes
"Gents  Watch  Gio
Monoco"	Watch	Mr.  Shaukat  Aziz	Military	15/08/2011	85000	11250	Yes	Yes
"Gents  Watch  Gio
Monoco"	Watch	Mr.  Shaukat  Aziz	Military	15/08/2011	85000	11250	Yes	Yes
One Watch Hamilton	Watch	Mr.  Shaukat  Aziz		15/08/2011	60000	7500	Yes	Yes
One Watch Hamilton	Watch	Mr.  Shaukat  Aziz		15/08/2011	60000	7500	Yes	Yes
One Watch Hamilton	Watch	Mr.  Shaukat  Aziz	Police	15/08/2011	60000	7500	Yes	Yes
One Watch Hamilton	Watch	Mr.  Shaukat  Aziz	Police	15/08/2011	60000	7500	Yes	Yes
One Watch Hamilton	Watch	Mr.  Shaukat  Aziz	Military	15/08/2011	60000	7500	Yes	Yes
One Watch Hamilton	Watch	Mr.  Shaukat  Aziz	Military	15/08/2011	60000	7500	Yes	Yes
One Watch Hamilton	Watch	Mr.  Shaukat  Aziz	Police	15/08/2011	60000	7500	Yes	Yes
One Watch Hamilton	Watch	Mr.  Shaukat  Aziz		15/08/2011	60000	7500	Yes	Yes
One Watch Hamilton	Watch	Mr.  Shaukat  Aziz		15/08/2011	60000	7500	Yes	Yes
One Watch Hamilton	Watch	Mr.  Shaukat  Aziz	Police	15/08/2011	60000	7500	Yes	Yes
"a. One Golden Sword
b. One Tasbih in gold
c. One Table Clock
d. One Pen
e. Box Containing Oudh
f. Piece  of  Ghalaf-e-
Kaba"		Mr.  Shaukat  Aziz	PPP	15/08/2011	847847	0	Yes	Yes
"One Box Containing Two
Wrist  Watches,
Cufflinks,  Pair  of  Ear-
rings,  One  Ring,  One
Bracelet & One Pen."	Watch	Mr.  Shaukat  Aziz	Military	15/08/2011	387149	0	Yes	Yes
One Watch Hamilton	Watch	Mr.  Shaukat  Aziz	Military	15/08/2011	65000	0	Yes	Yes
One Watch Hamilton	Watch	Mr.  Shaukat  Aziz		15/08/2011	65000	0	Yes	Yes
"One  Wrist  Watch  Gio
Monocco"	Watch	Mr.  Shaukat  Aziz	Police	16/08/2011	135000	18750	Yes	Yes
"One  Wrist  Watch
Movado (No.4652275)"	Watch	Mr.  Shaukat  Aziz		16/08/2011	65000	8250	Yes	Yes
"One  Wrist  Watch
Hamilton  (No.2824-2-
H395150)"	Watch	Mr.  Shaukat  Aziz	Police	16/08/2011	60000	7500	Yes	Yes
"One  Wrist  Watch
Hamilton
(No.ATM/100FT)"	Watch	Mr.  Shaukat  Aziz	Police	16/08/2011	60000	7500	Yes	Yes
"One  Wrist  Watch
Hamilton
(No.10BAR/145PSI)"	Watch	Mr.  Shaukat  Aziz	Police	16/08/2011	60000	7500	Yes	Yes
"One  Wrist  Watch  POG
(No.POG E66903)"	Watch	Mr.  Shaukat  Aziz	Police	16/08/2011	60000	7500	Yes	Yes
"One  Wrist  Watch
Hamilton  (No.20
BAR/290 PSI)"	Watch	Mr.  Shaukat  Aziz	Police	16/08/2011	60000	7500	Yes	Yes
"One  Wrist  Watch
Hamilton  (No.H745920)
Qtz"	Watch	Mr.  Shaukat  Aziz	Police	16/08/2011	35000	3750	Yes	Yes
"One  Wrist  Watch
Hamilton (No.H346150)"	Watch	Mr.  Shaukat  Aziz	Police	16/08/2011	35000	3750	Yes	Yes
"One  Wrist  Watch
Hamilton
(10ATM/330FT)"	Watch	Mr.  Shaukat  Aziz	Police	16/08/2011	35000	3750	Yes	Yes
"One Wrist Watch Bvlgari
(No.O 9193)"	Watch	Mr.  Shaukat  Aziz	Military	18/08/2011	160000	22500	Yes	Yes
"One  Wrist  Watch  Gio
Monocco (No.s n 0302)"	Watch	Mr.  Shaukat  Aziz	Bureaucracy	18/08/2011	65000	8250	Yes	Yes
"One  Wrist  Watch
Hamilton (No.H 644250)"	Watch	Mr.  Shaukat  Aziz	Military	18/08/2011	60000	7500	Yes	Yes
"One  Wrist  Watch
Hamilton (No.H 647150)"	Watch	Mr.  Shaukat  Aziz	Military	18/08/2011	60000	7500	Yes	Yes
"One  Wrist Watch
Hamilton (No.H 325550)"	Watch	Mr.  Shaukat  Aziz		18/08/2011	60000	7500	Yes	Yes
"One  Wrist  Watch
Hamilton (No.H365160)"	Watch	Mr.  Shaukat  Aziz	Police	18/08/2011	60000	7500	Yes	Yes
"One  Wrist  Watch
Longiness  Qtz
Chronograph"	Watch	Mr.  Shaukat  Aziz	Military	19/08/2011	95000	12750	Yes	Yes
"One  Wrist  Watch
Longiness Qtz"	Watch	Mr.  Shaukat  Aziz	Military	19/08/2011	75000	9750	Yes	Yes
"One  Wrist  Watch
Longiness Qtz."	Watch	Mr.  Shaukat  Aziz	Military	19/08/2011	55000	6750	Yes	Yes
"One  Wrist  Watch
Longiness Qtz."	Watch	Mr.  Shaukat  Aziz		19/08/2011	55000	6750	Yes	Yes
"One  Wrist  Watch
Longiness Qtz."	Watch	Mr.  Shaukat  Aziz		19/08/2011	55000	6750	Yes	Yes
"One  Watch  Longiness
Automatic  (L3.677.4)
(No.35567178)"	Watch	Mr.  Shaukat  Aziz		22/08/2011	90000	12000	Yes	Yes
One Wrist Watch Bvlgari	Watch	Mr.  Shaukat  Aziz		23/08/2011	160000	22500	Amount	Amount
"One  Wrist  Watch  Saint
Moritz Qtz"	Watch	Mr.  Shaukat  Aziz	Military	25/08/2011	135000	18750	Yes	Yes
"One  Wrist  Watch
Longiness Qtz."	Watch	Mr.  Shaukat  Aziz		25/08/2011	95000	12750	Yes	Yes
One Carpet	Carpet	Mr.  Shaukat  Aziz		05/09/2011	20000	0	Auctioned	"Auctioned for
Rs.25,000/-"
"One  Wall  Hanging
Decoration  Piece
(Framed)"	Decoration Pieces	Mr.  Shaukat  Aziz	Military	08/09/2011	2500	0	Yes	Yes
One gift (Tea Set)		Mr.  Shaukat  Aziz	Military	08/09/2011	1500	0	Yes	Yes
"One  Wrist  Watch
Hamilton (No.H 326560)"	Watch	Mr.  Shaukat  Aziz	Media	10/09/2011	35000	3750	Yes	Yes
"One  Wall  Hanging
Decoration  Piece  (duly
framed)"	Decoration Pieces	Mr.  Shaukat  Aziz	Military	19/09/2011	2500	0	Yes	Yes
"One Tea Set
Two Packet Tea"	Crockery	Mr.  Shaukat  Aziz		19/09/2011	2300	0	Yes	Yes
One Small Wall Hanging		Mr.  Shaukat  Aziz		19/09/2011	1000	0	Yes	Yes
"One  Wrist  Watch
Hamilton (No.18830)"	Watch	Mr.  Shaukat  Aziz	Media	20/09/2011	35000	3750	Yes	Yes
"One  Wrist  Watch
Hamilton (No.H376460)"	Watch	Mr.  Shaukat  Aziz	Media	21/09/2011	35000	3750	Yes	Yes
One Watch Hamilton	Watch	Mr.  Shaukat  Aziz	Media	26/09/2011	60000	7500	Yes	Yes
"One  Wrist  Watch
Longiness Qtz"	Watch	Mr.  Shaukat  Aziz	Media	28/09/2011	75000	9750	Yes	Yes
"One  Wrist  Watch
Longines Qtz."	Watch	Mr.  Shaukat  Aziz	Media	28/09/2011	75000	9750	Yes	Yes
One Watch Hamilton	Watch	Mr.  Shaukat  Aziz	Media	28/09/2011	60000	7500	Yes	Yes
"a. Five  Wall  Hanging
(Animal Sceneries)
b. One  Plate  (Large
Size) (China Clay)"		Mr.  Shaukat  Aziz		28/09/2011	18000	0	Yes	Yes
"One  Wrist  Watch
Hamilton"	Watch	Mr.  Shaukat  Aziz	Military	01/10/2011	60000	10000	Yes	Yes
One Watch Hamilton	Watch	Mr.  Shaukat  Aziz		04/10/2011	65000	8250	Yes	Yes
"a. Brief case with Table
Set  (Leather  08
Pieces)
b. One Floor Mat
c. One  Wall"	Decoration Pieces	Mr.  Shaukat  Aziz	PPP	04/10/2011	41000	4650	Yes	Yes
"a. One  Carpet
(Handmade  packed
in Brief Case)
b. Two Flower Vases"	Carpet	Mr.  Shaukat  Aziz	PPP	04/10/2011	56000	2700	Yes	Yes
"One  Metal  Model  of
Falcon on Marble stand"	Decoration Pieces	Mr.  Shaukat  Aziz	PPP	04/10/2011	20000	1500	Yes	Yes
"One  Sculpture  Dec.
Piece  “Berkutchi  and
Tazi”"	Decoration Pieces	Mr.  Shaukat  Aziz	PPP	04/10/2011	18000	1200	Yes	Yes
"One  Model  of  Boat
(Golden)"	Decoration Pieces	Mr.  Shaukat  Aziz	PPP	04/10/2011	10000	0	Yes	Yes
"One  Painting duly
Framed"	Decoration Pieces	Mr.  Shaukat  Aziz	PPP	04/10/2011	7500	0	Yes	Yes
One Group Photo	Decoration Pieces	Mr.  Shaukat  Aziz	PPP	04/10/2011	0	0	Yes	Yes
"One  Model  of  Kuwait
National Assembly"	Decoration Pieces	Mr.  Shaukat  Aziz	PPP	04/10/2011	0	0	Yes	Yes
One Flower Vase	Decoration Pieces	Mr.  Shaukat  Aziz	PPP	05/10/2011	0	0	Yes	Yes
"a. One  Model  of  Hijr-e
Aswad
b. One Wrist  Watch
Chopard  (Moon
Phase)
(Auto)(No.1607515)
c. One Pair of Cufflinks
d. One Ball Point in Gold
& Diamond
e. One  Tasbih  in  Gold  &
Diamond
f. One Dagger in Gold &
Diamond"	Watch	Mr.  Shaukat  Aziz	PPP	17/10/2011	3800000	283500	Yes	Yes
"One  Wrist  Watch
Hamilton (No.384101)"	Watch	Mr.  Shaukat  Aziz		19/10/2011	60000	7500	Yes	Yes
"One  replica  of
Dagger/Knife (Yemeni)"	Weapons	Mr.  Shaukat  Aziz	Judiciary	21/10/2011	10000	0	Auctioned	"Auctioned for
Rs.9,100/-"
Two  Packets  of  Coffee	Food	Mr.  Shaukat  Aziz	Judiciary	21/10/2011	0	0	Retained without	Retained without
"a. One  Gun  (FN
HERSTAL)  with
accessories and
b. One  Wrist  Watch
Cartier"	"Watch, Weapons"	Mr.  Shaukat  Aziz	PPP	28/10/2011	3230000	321000	Yes	Yes
"One  Wrist  Watch  Rolex
(No.116233)"	Watch	Mr.  Shaukat  Aziz	Military	28/10/2011	725000	143000	Yes	Yes
"One  Wrist  Watch  Rolex
(No.116233)"	Watch	Mr.  Shaukat  Aziz	Military	28/10/2011	725000	143000	Yes	Yes
"One  Wrist  Watch  Rolex
(116200)"	Watch	Mr.  Shaukat  Aziz		28/10/2011	525000	103000	Yes	Yes
One Wrist Watch Rolex	Watch	Mr.  Shaukat  Aziz	Military	28/10/2011	525000	103000	Yes	Yes
"One  Wrist  Watch
Longines"	Watch	Mr.  Shaukat  Aziz	Military	28/10/2011	120000	22000	Yes	Yes
One Wrist Watch EBEL	Watch	Mr.  Shaukat  Aziz	Military	28/10/2011	115000	21000	Yes	Yes
"One  Wrist  Watch
Longines (bracelet)"	Watch	Mr.  Shaukat  Aziz	Military	28/10/2011	95000	17000	Yes	Yes
"One  Wrist  Watch
Longines (bracelet)"	Watch	Mr.  Shaukat  Aziz		28/10/2011	95000	17000	Yes	Yes
"One  Wrist  Watch
Longines"	Watch	Mr.  Shaukat  Aziz	Military	28/10/2011	85000	15000	Yes	Yes
"One  Wrist  Watch
Longines"	Watch	Mr.  Shaukat  Aziz	Military	28/10/2011	85000	15000	Yes	Yes
"One  Wrist  Watch
Longines"	Watch	Mr.  Shaukat  Aziz		28/10/2011	85000	15000	Yes	Yes
"One  Wrist  Watch
Longines"	Watch	Mr.  Shaukat  Aziz	Police	28/10/2011	85000	15000	Yes	Yes
"One  Wrist Watch
Longines"	Watch	Mr.  Shaukat  Aziz	Military	28/10/2011	85000	15000	Yes	Yes
"One  Wrist  Watch
Longines"	Watch	Mr.  Shaukat  Aziz	Police	28/10/2011	85000	15000	Yes	Yes
"One  Wrist  Watch
Longines"	Watch	Mr.  Shaukat  Aziz		28/10/2011	85000	15000	Yes	Yes
Two mats		Mr.  Shaukat  Aziz	Military	06/11/2011	0	0	Yes	Yes
"One  (small)  Carpet  (Jai
Namaz)"	Carpet	Mr.  Shaukat  Aziz	Military	17/11/2011	8500	0	Yes	Yes
"Two  Wrist  Watches  Gio
Monoco  Lady’s  &  Gents,
Bracelet,  Pair  of  Ear
Rings,  Ring,  Ball  pen
and Pair of cufflinks"	Watch	Mr.  Shaukat  Aziz	Bureaucracy	22/11/2011	387149	56573	Yes	Yes
"One  Wrist  Watch  Guess
Collection No. GC 56002"	Watch	Mr.  Shaukat  Aziz	Bureaucracy	23/11/2011	30000	4000	Yes	Yes
"One  Wrist  Watch
Hamilton"	Watch	Mr.  Shaukat  Aziz	Media	12/12/2011	35000	5000	Yes	Yes
"One  (small)  Decoration
Tea Set"	Decoration Pieces	Mr.  Shaukat  Aziz	Bureaucracy	20/12/2011	3500	0	Yes	Yes
"a. Wrist  Watch  Gio
Monocco  (Gents)"	Watch	Mr.  Shaukat  Aziz		22/12/2011	210000	0	"Wrist Watch Gio
Monocco (Gents)"	"Wrist Watch Gio
Monocco (Gents)"
"One  small  carpet
(handmade)"	Carpet	Mr.  Shaukat  Aziz		07/02/2012	7500	0	Yes	Yes
"One  watch  Movado
(swiss made)"	Watch	Mr.  Shaukat  Aziz		09/02/2012	75000	13000	Yes	Yes
"One  watch  Movado
(swiss made)"	Watch	Mr.  Shaukat  Aziz	Bureaucracy	10/02/2012	75000	13000	Yes	Yes
"One  box,  containing
locket, finger ring"	Jewellery/Accessories	Mr.  Shaukat  Aziz	PPP	13/02/2012	16000	1200	Yes	Yes
"One  box  containing
finger ring, Tasbeeh"	Jewellery/Accessories	Mr.  Shaukat  Aziz	PPP	13/02/2012	7000	0	Yes	Yes
"One  brief  case
containing  two  pieces
of table cloth"	Decoration Pieces	Mr.  Shaukat  Aziz	PPP	13/02/2012	4500	0	Yes	Yes
"One  flower  vase
(small)"	Decoration Pieces	Mr.  Shaukat  Aziz	Military	13/02/2012	1000	0	Yes	Yes
One small flower vase	Decoration Pieces	Mr.  Shaukat  Aziz	Military	13/02/2012	1000	0	Yes	Yes
"Vacheron  Constatin
Wrist  Watch
(No.86050-154733)"	Watch	Mr.  Shaukat  Aziz		14/02/2012	0	208000	Yes	Yes
"Wrist  Watch  Bvlgari
(BB42SS  Auto
011023)"	Watch	Mr.  Shaukat  Aziz	Bureaucracy	15/02/2012	160000	30000	Yes	Yes
One  Wrist  Watch	Watch	Mr.  Shaukat  Aziz		16/02/2012	75000	13000	Yes	Yes
One Wrist Watch JBR	Watch	Mr.  Shaukat  Aziz		16/02/2012	215000	0	No	No
"One  Souvenir/  table
Clock"		Mr.  Shaukat  Aziz	Bureaucracy	16/02/2012	8000	0	Yes	Yes
One Rolex Wrist Watch	Watch	Mr.  Shaukat  Aziz	Military	20/02/2012	385000	75000	Yes	Yes
"One  Wrist  Watch
Frederique  Constant
No.1341570"	Watch	Mr.  Shaukat  Aziz	Military	20/02/2012	125000	23000	Yes	Yes
"One  Wrist  Watch
Frederique  Constant
(No.1302712)"	Watch	Mr.  Shaukat  Aziz	Military	20/02/2012	0	23000	Yes	Yes
"One  Wrist Watch
Charriol (No.2396)"	Watch	Mr.  Shaukat  Aziz	Military	20/02/2012	0	15000	Yes	Yes
"One  Wrist  Watch
Concord"	Watch	Mr.  Shaukat  Aziz	Military	20/02/2012	75000	0	Yes	Yes
"One  decoration  piece
(Jewelry stones)"	Decoration Pieces	Mr.  Shaukat  Aziz	Military	20/02/2012	10000	0	Yes	Yes
"One  decoration  piece
box  (empty  Jewelry
box)"	Decoration Pieces	Mr.  Shaukat  Aziz		20/02/2012	8000	0	Yes	Yes
One Table Clock		Mr.  Shaukat  Aziz		20/02/2012	8000	0	Yes	Yes
"One Wrist Watch
Concord"	Watch	Mr.  Shaukat  Aziz		20/02/2012	0	0	Yes	Yes
One JBR Wrist Watch	Watch	Mr.  Shaukat  Aziz		20/02/2012	0	0	Yes	Yes
"One  Wrist  Watch
Frederique Constant"	Watch	Mr.  Shaukat  Aziz		21/02/2012	0	0	Yes	Yes
"One  Wrist  Watch
Concord (No.1391851)"	Watch	Mr.  Shaukat  Aziz		23/02/2012	0	0	Yes	Yes
"One  Wrist  Watch
Movado
(No.10812247)"	Watch	Mr.  Shaukat  Aziz	Police	23/02/2012	0	0	Yes	Yes
One Wrist Watch POG	Watch	Mr.  Shaukat  Aziz	Media	24/02/2012	60000	10000	Yes	Yes
"One  Wrist  Watch
Hamilton"	Watch	Mr.  Shaukat  Aziz	Media	24/02/2012	60000	10000	Yes	Yes
"One Wrist  Watch
Charriol  Geneve  Swiss
Made"	Watch	Mr.  Shaukat  Aziz	Bureaucracy	05/03/2012	0	0	Yes	Yes
One JBR Wrist Watch	Watch	Mr.  Shaukat  Aziz		05/03/2012	0	0	Yes	Yes
"I-Phone  4S  (white)
model  MD239AE  with
accessories"	Phone	Mr.  Shaukat  Aziz		06/03/2012	60000	0	Auctioned	"Auctioned for
Rs.50,850/-)"
Ball Pen Dupont	Pen	Mr.  Shaukat  Aziz	Media	06/03/2012	6500	0	Yes	Yes
"One  Wrist  Watch
Concord"	Watch	Mr.  Shaukat  Aziz	Bureaucracy	06/03/2012	0	0	Yes	Yes
Ball Pen Dupont	Pen	Mr.  Shaukat  Aziz	Media	09/03/2012	6500	0	Yes	Yes
"One  Wrist  Watch
(Charriol)"	Watch	Mr.  Shaukat  Aziz		13/03/2012	85000	0	Yes	Yes
Ball Pen Dupont	Pen	Mr.  Shaukat  Aziz	Media	13/03/2012	6500	0	Yes	Yes
"Wrist  Watch  JBR  (with
2 straps)"	Watch	Mr.  Shaukat  Aziz		20/03/2012	0	41000	Yes	Yes
Ball Pen Dupont	Pen	Mr.  Shaukat  Aziz	Media	22/03/2012	6500	0	Yes	Yes
"One  carpet  (woolen)
(size 3x5 approx.)"	Carpet	Mr.  Shaukat  Aziz		27/03/2012	15000	0	Auctioned	"Auctioned for
Rs.20,210/-"
"Small decoration piece
(i.e.  Silver  Case/
decoration bowl)"	Decoration Pieces	Mr.  Shaukat  Aziz	Military	03/04/2012	8000	0	Yes	Yes
"One  Wrist  Watch
Baume+Mereier
Stainless  steel
automatic  with  chain
Chronograph"	Watch	Mr.  Shaukat  Aziz	Bureaucracy	16/04/2012	0	15000	Yes	Yes
"a. Frame  Shield
Navrn 2012
b. 3  stone  framed
(Blue)
c. One Dagger
d. Two  colored
framed shield
e. One  Frame
containing 20 Semi
Precious  Tajik
Stone
f. One  Decorated
Plate  &  Book
(Nuroz)"		Mr.  Shaukat  Aziz	PPP	30/04/2012	78000	13600	Yes	Yes
One Silver Coin		Mr.  Shaukat  Aziz	Military	30/04/2012	0	0	Yes	Yes
One Silver Coin		Mr.  Shaukat  Aziz	Military	30/04/2012	0	0	Yes	Yes
One Silver Coin		Mr.  Shaukat  Aziz	Military	30/04/2012	0	0	Yes	Yes
"One  clay  decoration
piece"	Decoration Pieces	Mr.  Shaukat  Aziz	PPP	31/05/2012	2000	0	Auctioned	"Auctioned for
Rs.4,150/-"
"a. Wooden box
b. Ball pen
c. Paper cutter"	Pen	Mr.  Shaukat  Aziz	Bureaucracy	31/05/2012	2000	0	Auctioned	"Auctioned
a. For Rs.550/-
b. For Rs.635/-
c. For Rs.430/-"
"One framed decoration
piece"	Decoration Pieces	Mr.  Shaukat  Aziz	Bureaucracy	31/05/2012	1600	0	Auctioned	"Auctioned for
Rs.2,000/-"
"3  stone  decoration
pieces"	Decoration Pieces	Mr.  Shaukat  Aziz	Bureaucracy	31/05/2012	1000	0	Auctioned	"Auctioned for
Rs.1,030/-"
Glass sugar pot		Mr.  Shaukat  Aziz	Military	06/06/2012	3000	0	Yes	Yes
"Little  tea  cups  with
saucers (handmade)"	Crockery	Mr.  Shaukat  Aziz	Military	06/06/2012	2000	0	Yes	Yes
One silver bowl		Mr.  Shaukat  Aziz		08/06/2012	21000	2200	Yes	Yes
"a. One  wrist  watch
Seagul  (limited"	Watch	Mr.  Shaukat  Aziz	PPP	26/06/2012	160000	30400	Yes	Yes
"a. One  wrist  watch
seagull
b. One  wooden
screen
c. Traditional
Chinese  wall
hanging"	Watch	Mr.  Shaukat  Aziz		26/06/2012	52000	3200	Yes	Yes
"a. One  wrist watch
seagull
b. One  wooden
screen
c. Traditional
Chinese  wall
hangings"	Watch	Mr.  Shaukat  Aziz	PPP	26/06/2012	52000	3200	Yes	Yes
"a. One  wrist  watch
seagull
b. One  wooden
screen
c. Traditional
Chinese  wall
hanging"	Watch	Mr.  Shaukat  Aziz	Military	26/06/2012	52000	3200	Yes	Yes
One brass vase 	Decoration Pieces	Mr.  Shaukat  Aziz	PPP	26/06/2012	8000	0	Yes	Yes
22 Nos. of Necktie		Mr.  Shaukat  Aziz		26/06/2012	500	0	Yes	Yes
One shield		Mr.  Shaukat  Aziz	PPP	26/06/2012	0	0	Yes	Yes
One  decoration  piece	Decoration Pieces	Mr.  Shaukat  Aziz		06/07/2012	6500	0	Yes	Yes
"One  Carpet/  woolen
prayer  mat  (Afghan
made)"	Carpet	Mr.  Shaukat  Aziz	Bureaucracy	01/08/2012	0	0	Yes	Yes
"One  Carpet  (Afghan
made)"	Carpet	Mr.  Shaukat  Aziz	Military	01/08/2012	0	0	Yes	Yes
"One  Carpet  (Afghan
made)"	Carpet	Mr.  Shaukat  Aziz	Police	01/08/2012	0	0	Yes	Yes
"One  Carpet  (Afghan
made)"	Carpet	Mr.  Shaukat  Aziz	Military	01/08/2012	0	0	Yes	Yes
"One  Carpet  (Large)
(Afghan made)"	Carpet	Mr.  Shaukat  Aziz	PPP	02/08/2012	0	5000	Yes	Yes
"One  Carpet
(handmade)(Iranian)"	Carpet	Mr.  Shaukat  Aziz	PPP	13/08/2012	0	0	Yes	Yes
"Watch  Van  Der
Bausede  with  Pari  of
Cufflinks & Ball pen"	Watch	Mr.  Shaukat  Aziz	Bureaucracy	03/09/2012	45000	7000	Yes	Yes
"a. Two Quran-e-Pak
b. 4  CD’s  Talawat
Quran
c. Piece  of  Ghalaf-e-
Kaba
d. One  Model  of
Makkah  Tower
(Table)  Clock  with
(Crystal & Stones)
e. One  Framed
Calligraphy
f. 06  Books  on
Makkah"		Mr.  Shaukat  Aziz	PPP	10/09/2012	0	46600	Yes	Yes
"Wrist  Watch  Charriol
No. Ref:RT42CR"	Watch	Mr.  Shaukat  Aziz		11/09/2012	0	15000	Yes	Yes
"One  carpet,  small
(Iranian)"	Carpet	Mr.  Shaukat  Aziz		11/09/2012	20000	0	Auctioned	"Auctioned for
Rs.21,101/-"
Wrist watch (Sea-Gull)	Watch	Mr.  Shaukat  Aziz		11/09/2012	0	0	Yes	Yes
"02 souvenirs i.e:
a. 1x wooden Screen
b. 1x wall Hanging"		Mr.  Shaukat  Aziz		20/09/2012	6000	0	Yes	Yes
One Carpet	Carpet	Mr.  Shaukat  Aziz	PPP	24/09/2012	20000	2000	Yes	Yes
"One  Wrist  watch
Jeager  Le  Coultre
(Master  Grande  Ultra
thin)  (18kt  gold
approx)"	Watch	Mr.  Shaukat  Aziz		19/10/2012	650000	128000	Yes	Yes
"One  Wrist  watch
Corum"	Watch	Mr.  Shaukat  Aziz	Military	19/10/2012	165000	31000	Yes	Yes
"One  Wrist  watch
Corum"	Watch	Mr.  Shaukat  Aziz	Military	19/10/2012	135000	25000	Yes	Yes
"One  Wrist  watch
Baume  &  Mercier,
Geneve 1830 Swiss 30
M  No.5363547  MOA
08485"	Watch	Mr.  Shaukat  Aziz		19/10/2012	130000	24000	Yes	Yes
"One  Wrist  watch
Baume  &  Mercier
(No.5365729)"	Watch	Mr.  Shaukat  Aziz	Bureaucracy	23/10/2012	130000	24000	Yes	Yes
"One  Wrist  watch
Baume  &  Mercier
(No.5365508)"	Watch	Mr.  Shaukat  Aziz		23/10/2012	130000	24000	Yes	Yes
"One  Wrist  watch
Baume  &  Mercier
(No.5365435)"	Watch	Mr.  Shaukat  Aziz	Military	23/10/2012	130000	24000	Yes	Yes
